TimestampKST,GNSSTime,Latitude,Longitude,FixType,HPE(m),NorthingError(m),EastingError(m),MessageRate(Hz)
2025-07-05 22:48:26.634076+09:00,13:48:27.130000,36.116582,128.364769,fixed-rtk,15254322.16,14273844.79,5380678.35,30
2025-07-05 22:48:26.682430+09:00,13:48:27.170000,36.116582,128.364769,fixed-rtk,15254322.16,14273844.79,5380678.35,30
2025-07-05 22:48:26.721194+09:00,13:48:27.200000,36.116582,128.364769,fixed-rtk,15254322.16,14273844.79,5380678.35,30
2025-07-05 22:48:26.740861+09:00,13:48:27.230000,36.116582,128.364769,fixed-rtk,15254322.16,14273844.79,5380678.35,30
2025-07-05 22:48:26.776153+09:00,13:48:27.270000,36.116582,128.364769,fixed-rtk,15254322.16,14273844.79,5380678.35,30
2025-07-05 22:48:26.811334+09:00,13:48:27.300000,36.116582,128.364769,fixed-rtk,15254322.16,14273844.79,5380678.35,31
2025-07-05 22:48:26.836821+09:00,13:48:27.330000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,31
2025-07-05 22:48:26.875403+09:00,13:48:27.360000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,31
2025-07-05 22:48:26.901370+09:00,13:48:27.400000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,31
2025-07-05 22:48:26.933567+09:00,13:48:27.430000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,31
2025-07-05 22:48:26.982198+09:00,13:48:27.460000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,31
2025-07-05 22:48:27.007590+09:00,13:48:27.500000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,31
2025-07-05 22:48:27.039515+09:00,13:48:27.530000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,31
2025-07-05 22:48:27.060645+09:00,13:48:27.560000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,31
2025-07-05 22:48:27.113843+09:00,13:48:27.600000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,31
2025-07-05 22:48:27.141045+09:00,13:48:27.630000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,31
2025-07-05 22:48:27.180565+09:00,13:48:27.660000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,31
2025-07-05 22:48:27.208328+09:00,13:48:27.690000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,31
2025-07-05 22:48:27.240697+09:00,13:48:27.730000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,31
2025-07-05 22:48:27.276324+09:00,13:48:27.760000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,31
2025-07-05 22:48:27.308852+09:00,13:48:27.790000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,31
2025-07-05 22:48:27.343245+09:00,13:48:27.830000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,31
2025-07-05 22:48:27.375801+09:00,13:48:27.860000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,31
2025-07-05 22:48:27.414221+09:00,13:48:27.890000,36.116582,128.364769,fixed-rtk,15254322.19,14273844.81,5380678.37,31
